BRANCH1,SUBJECT,YEAR,UNIT,QUESTION,OPTION A,OPTION B,OPTION C,OPTION D,ANSWER,BRANCH
IT,PYTHON PROGRAMMING,2,2,Which loop will execute at least once regardless of the condition?,While loop,For loop,Do-while loop,Python does not have such a loop,Do-while loop,IT-2
IT,PYTHON PROGRAMMING,2,2,What does the break statement do in a loop?,Skips the rest of the code in the loop iteration,Terminates the loop execution,Moves to the next iteration,Restarts the loop,Terminates the loop execution,IT-2
IT,PYTHON PROGRAMMING,2,3,What is the purpose of default arguments in Python functions?,To enforce type checking of arguments,To provide a default value if no argument is passed,To make functions run faster,To enable recursion,To provide a default value if no argument is passed,IT-2
IT,PYTHON PROGRAMMING,2,3,Which DATA STRUCTURE in Python is immutable?,List,Set,Tuple,Dictionary,Tuple,IT-2
IT,PYTHON PROGRAMMING,2,3,What is the purpose of a lambda function?,Define a function inside a class,Create an anonymous function,Handle exceptions,Create generators,Create an anonymous function,IT-2
IT,PYTHON PROGRAMMING,2,4,Which method is used to read a file line by line?,read(),readlines(),readline(),readall(),readlines(),IT-2
IT,PYTHON PROGRAMMING,2,4,What is the purpose of the __init__ method in a Python class?,To initialize a class object,To create class variables,To override methods,To delete an object,To initialize a class object,IT-2
IT,PYTHON PROGRAMMING,2,4,Which of the following is not a valid module import statement in Python?,import math,from math import sqrt,import sqrt from math,import math as m,import sqrt from math,IT-2
IT,PYTHON PROGRAMMING,2,5,Which algorithm is used to solve the Tower of Hanoi problem?,Iterative,Recursive,Dynamic Programming,Greedy,Recursive,IT-2
IT,PYTHON PROGRAMMING,2,5,What is the worst-case time complexity of binary search?,O(1),O(n),O(log n),O(n²),O(log n),IT-2
IT,PYTHON PROGRAMMING,2,5,What is the purpose of an iterator in Python?,To store multiple items in a single variable,To traverse elements of a container one at a time,To improve the speed of for loops,To handle exceptions,To traverse elements of a container one at a time,IT-2
CSE,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,1,What is the primary purpose of value education?,To improve technical skills,To enable right understanding and ethical living,To prepare for competitive exams,To increase material wealth,To enable right understanding and ethical living,CSE-2
CSE,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,1,What does 'natural acceptance' mean in value education?,Acceptance based on societal norms,Innate understanding of what is right and meaningful,Acceptance of peer pressure,Following instructions without questioning,Innate understanding of what is right and meaningful,CSE-2
CSE,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,1,What are the basic human aspirations?,Happiness and prosperity,Wealth and power,Fame and luxury,Status and recognition,Happiness and prosperity,CSE-2
CSE,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,2,What are the two aspects of a human being?,Mind and body,Self and body,Emotions and thoughts,Heart and soul,Self and body,CSE-2
CSE,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,2,What does 'Sanyam' refer to in human values?,Balance between self and body,Material prosperity,Discipline in education,Success in career,Balance between self and body,CSE-2
CSE,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,2,What is the primary function of the body in human life?,To guide the self,To act as an instrument of the self,To determine aspirations,To manage relationships,To act as an instrument of the self,CSE-2
CSE,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,3,What is the foundational value in human relationships?,Trust,Wealth,Authority,Power,Trust,CSE-2
CSE,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,3,What does 'Nyaya' aim to achieve in relationships?,Unequal treatment,Mutual fulfillment,Dominance,Compromise,Mutual fulfillment,CSE-2
CSE,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,3,What is a harmonious society characterized by?,Wealth and luxury,Undivided society and universal order,Power dynamics,Competition and control,Undivided society and universal order,CSE-2
CSE,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,4,What does 'Sah-astitva' mean in human values?,Co-existence,Dominance,Isolation,Separation,Co-existence,CSE-2
CSE,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,4,What are the four orders in nature?,"Humans, animals, plants, and soil","Material, plants, animals, and humans","Air, water, soil, and plants","Mind, body, emotions, and nature","Material, plants, animals, and humans",CSE-2
CSE,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,4,What does mutual fulfillment in nature involve?,Exploitation of resources,Interconnectedness and recyclability,Competition among species,Ignoring environmental needs,Interconnectedness and recyclability,CSE-2
CSE,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,5,What is the basis of ethical human conduct?,Wealth generation,Natural acceptance of values,Fear of authority,Following societal norms,Natural acceptance of values,CSE-2
CSE,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,5,What is the role of professional competence in ethics?,To maximize individual profit,To augment universal human order,To dominate the workforce,To secure promotions,To augment universal human order,CSE-2
CSE,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,5,What does humanistic education focus on?,Skills for technical advancement,Right understanding and values,Accumulating knowledge,Memorization of facts,Right understanding and values,CSE-2
IT,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,1,What is the primary purpose of value education?,To improve technical skills,To enable right understanding and ethical living,To prepare for competitive exams,To increase material wealth,To enable right understanding and ethical living,IT-2
IT,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,1,What does 'natural acceptance' mean in value education?,Acceptance based on societal norms,Innate understanding of what is right and meaningful,Acceptance of peer pressure,Following instructions without questioning,Innate understanding of what is right and meaningful,IT-2
IT,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,1,What are the basic human aspirations?,Happiness and prosperity,Wealth and power,Fame and luxury,Status and recognition,Happiness and prosperity,IT-2
IT,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,2,What are the two aspects of a human being?,Mind and body,Self and body,Emotions and thoughts,Heart and soul,Self and body,IT-2
IT,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,2,What does 'Sanyam' refer to in human values?,Balance between self and body,Material prosperity,Discipline in education,Success in career,Balance between self and body,IT-2
IT,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,2,What is the primary function of the body in human life?,To guide the self,To act as an instrument of the self,To determine aspirations,To manage relationships,To act as an instrument of the self,IT-2
IT,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,3,What is the foundational value in human relationships?,Trust,Wealth,Authority,Power,Trust,IT-2
IT,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,3,What does 'Nyaya' aim to achieve in relationships?,Unequal treatment,Mutual fulfillment,Dominance,Compromise,Mutual fulfillment,IT-2
IT,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,3,What is a harmonious society characterized by?,Wealth and luxury,Undivided society and universal order,Power dynamics,Competition and control,Undivided society and universal order,IT-2
IT,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,4,What does 'Sah-astitva' mean in human values?,Co-existence,Dominance,Isolation,Separation,Co-existence,IT-2
IT,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,4,What are the four orders in nature?,"Humans, animals, plants, and soil","Material, plants, animals, and humans","Air, water, soil, and plants","Mind, body, emotions, and nature","Material, plants, animals, and humans",IT-2
IT,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,4,What does mutual fulfillment in nature involve?,Exploitation of resources,Interconnectedness and recyclability,Competition among species,Ignoring environmental needs,Interconnectedness and recyclability,IT-2
IT,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,5,What is the basis of ethical human conduct?,Wealth generation,Natural acceptance of values,Fear of authority,Following societal norms,Natural acceptance of values,IT-2
IT,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,5,What is the role of professional competence in ethics?,To maximize individual profit,To augment universal human order,To dominate the workforce,To secure promotions,To augment universal human order,IT-2
IT,UNIVERSAL HUMAN VALUE AND PROFESSIONAL ETHICS,2,5,What does humanistic education focus on?,Skills for technical advancement,Right understanding and values,Accumulating knowledge,Memorization of facts,Right understanding and values,IT-2
CSE,TECHNICAL COMMUNICATION,2,1,What is the primary purpose of communication in a professional setting?,To express personal opinions,To share information and achieve goals effectively,To entertain the audience,To maintain casual interactions,To share information and achieve goals effectively,CSE-2
CSE,TECHNICAL COMMUNICATION,2,1,What is a key principle of the 7 C's of Communication?,Casualness,Clarity,Complexity,Contradiction,Clarity,CSE-2
CSE,TECHNICAL COMMUNICATION,2,1,Which tone is generally used to express uncertainty or a question?,Falling tone,Rising tone,Neutral tone,Monotone,Rising tone,CSE-2
CSE,TECHNICAL COMMUNICATION,2,2,Which document is essential for a job application?,CV or Résumé,Statement of Purpose,Seminar Report,Feedback Form,CV or Résumé,CSE-2
CSE,TECHNICAL COMMUNICATION,2,2,What is the purpose of group discussions during interviews?,To argue with peers,To assess teamwork and communication skills,To showcase personal opinions,To memorize facts,To assess teamwork and communication skills,CSE-2
CSE,TECHNICAL COMMUNICATION,2,2,What should an effective Statement of Purpose (SOP) include?,Details about family background,A clear vision for academic or professional goals,Personal hobbies and interests,Generalized opinions,A clear vision for academic or professional goals,CSE-2
CSE,TECHNICAL COMMUNICATION,2,3,What is a key element of speech delivery?,Using complex language,"Passion, poise, and illustrations",Reading directly from notes,Avoiding eye contact,"Passion, poise, and illustrations",CSE-2
CSE,TECHNICAL COMMUNICATION,2,3,What is the purpose of a technical proposal?,To pitch an idea and seek approval,To summarize a research paper,To introduce a team,To critique a project,To pitch an idea and seek approval,CSE-2
CSE,TECHNICAL COMMUNICATION,2,3,Which step is NOT part of pitching an idea?,Preparation,Structuring,Improvisation,Process description,Improvisation,CSE-2
CSE,TECHNICAL COMMUNICATION,2,4,What is emotional intelligence crucial for?,Trust and effective communication,Aggressive leadership,Avoiding feedback,Following rigid structures,Trust and effective communication,CSE-2
CSE,TECHNICAL COMMUNICATION,2,4,What distinguishes tact from intelligence in communication?,Intelligence is about IQ; tact is about timing and appropriateness,Intelligence involves calculations; tact involves clarity,Intelligence is for written tasks; tact is for verbal tasks,There is no distinction,Intelligence is about IQ; tact is about timing and appropriateness,CSE-2
CSE,TECHNICAL COMMUNICATION,2,4,What are thinking skills categorized into?,Abstract and general,Critical and creative,Passive and aggressive,Verbal and non-verbal,Critical and creative,CSE-2
CSE,TECHNICAL COMMUNICATION,2,5,What is the purpose of content creation on social media?,To follow trends only,To create meaningful and ethical engagement,To imitate competitors,To gain quick attention without purpose,To create meaningful and ethical engagement,CSE-2
CSE,TECHNICAL COMMUNICATION,2,5,Which psychologist proposed the Hierarchy of Needs?,Carl Jung,Sigmund Freud,Abraham Maslow,Carl Rogers,Abraham Maslow,CSE-2
CSE,TECHNICAL COMMUNICATION,2,5,What does Jung's Typology focus on?,Types of personalities,Group behavior,Physiological needs,Leadership strategies,Types of personalities,CSE-2
IT,TECHNICAL COMMUNICATION,2,1,What is the primary purpose of communication in a professional setting?,To express personal opinions,To share information and achieve goals effectively,To entertain the audience,To maintain casual interactions,To share information and achieve goals effectively,IT-2
IT,TECHNICAL COMMUNICATION,2,1,What is a key principle of the 7 C's of Communication?,Casualness,Clarity,Complexity,Contradiction,Clarity,IT-2
IT,TECHNICAL COMMUNICATION,2,1,Which tone is generally used to express uncertainty or a question?,Falling tone,Rising tone,Neutral tone,Monotone,Rising tone,IT-2
IT,TECHNICAL COMMUNICATION,2,2,Which document is essential for a job application?,CV or Résumé,Statement of Purpose,Seminar Report,Feedback Form,CV or Résumé,IT-2
IT,TECHNICAL COMMUNICATION,2,2,What is the purpose of group discussions during interviews?,To argue with peers,To assess teamwork and communication skills,To showcase personal opinions,To memorize facts,To assess teamwork and communication skills,IT-2
IT,TECHNICAL COMMUNICATION,2,2,What should an effective Statement of Purpose (SOP) include?,Details about family background,A clear vision for academic or professional goals,Personal hobbies and interests,Generalized opinions,A clear vision for academic or professional goals,IT-2
IT,TECHNICAL COMMUNICATION,2,3,What is a key element of speech delivery?,Using complex language,"Passion, poise, and illustrations",Reading directly from notes,Avoiding eye contact,"Passion, poise, and illustrations",IT-2
IT,TECHNICAL COMMUNICATION,2,3,What is the purpose of a technical proposal?,To pitch an idea and seek approval,To summarize a research paper,To introduce a team,To critique a project,To pitch an idea and seek approval,IT-2
IT,TECHNICAL COMMUNICATION,2,3,Which step is NOT part of pitching an idea?,Preparation,Structuring,Improvisation,Process description,Improvisation,IT-2
IT,TECHNICAL COMMUNICATION,2,4,What is emotional intelligence crucial for?,Trust and effective communication,Aggressive leadership,Avoiding feedback,Following rigid structures,Trust and effective communication,IT-2
IT,TECHNICAL COMMUNICATION,2,4,What distinguishes tact from intelligence in communication?,Intelligence is about IQ; tact is about timing and appropriateness,Intelligence involves calculations; tact involves clarity,Intelligence is for written tasks; tact is for verbal tasks,There is no distinction,Intelligence is about IQ; tact is about timing and appropriateness,IT-2
IT,TECHNICAL COMMUNICATION,2,4,What are thinking skills categorized into?,Abstract and general,Critical and creative,Passive and aggressive,Verbal and non-verbal,Critical and creative,IT-2
IT,TECHNICAL COMMUNICATION,2,5,What is the purpose of content creation on social media?,To follow trends only,To create meaningful and ethical engagement,To imitate competitors,To gain quick attention without purpose,To create meaningful and ethical engagement,IT-2
IT,TECHNICAL COMMUNICATION,2,5,Which psychologist proposed the Hierarchy of Needs?,Carl Jung,Sigmund Freud,Abraham Maslow,Carl Rogers,Abraham Maslow,IT-2
IT,TECHNICAL COMMUNICATION,2,5,What does Jung's Typology focus on?,Types of personalities,Group behavior,Physiological needs,Leadership strategies,Types of personalities,IT-2
CSE,DATABASE MANAGEMENT SYSTEM,3,1,Which of the following is NOT a component of a database system?,DATABSE,DBMS,OS,UI,OS,CSE-3
CSE,DATABASE MANAGEMENT SYSTEM,3,1,What is the primary function of a DATABASE MANAGEMENT SYSTEM (DBMS)?,To store data in files,To manage and organize data efficiently,To provide user interfaces,To execute complex calculations,To manage and organize data efficiently,CSE-3
CSE,DATABASE MANAGEMENT SYSTEM,3,2,SQL is a:,Procedural language,Declarative language,Functional language,Object-oriented language,Declarative language,CSE-3
CSE,DATABASE MANAGEMENT SYSTEM,3,2,What is the primary key of a relation?,A unique attribute or set of attributes that identifies each tuple.,A non-unique attribute or set of attributes,A foreign key in another relation,A composite attribute.,A unique attribute or set of attributes that identifies each tuple.,CSE-3
CSE,DATABASE MANAGEMENT SYSTEM,3,3,A relation R is in 2NF if:,Every non-prime attribute is fully functionally dependent on the primary key.,Every non-prime attribute is partially dependent on the primary key.,Every non-prime attribute is transitively dependent on the primary key.,Every determinant is a candidate key.,Every non-prime attribute is fully functionally dependent on the primary key.,CSE-3
CSE,DATABASE MANAGEMENT SYSTEM,3,3,A lossless-join decomposition of a relation R is a decomposition into relations R1 and R2 such that:,R1 ∩ R2 = ∅.,R1 ∪ R2 = R.,R1 × R2 = R.,R1 ⋈ R2 = R.,R1 ⋈ R2 = R.,CSE-3
CSE,DATABASE MANAGEMENT SYSTEM,3,4,Which of the following is not an ACID property of a transaction?,Atomicity,Consistency,Isolation,Efficiency,Efficiency,CSE-3
CSE,DATABASE MANAGEMENT SYSTEM,3,4,A deadlock occurs when:,Two transactions are waiting for each other to release a lock.,A transaction is waiting for a resource that is held by another transaction.,A transaction is waiting for a resource that is not available.,Two transactions are trying to access the same data at the same time.,Two transactions are waiting for each other to release a lock.,CSE-3
CSE,DATABASE MANAGEMENT SYSTEM,3,4,In a log-based recovery system the log records,The current state of the database.,The sequence of operations performed by transactions.,The schema of the database.,The user queries.,The sequence of operations performed by transactions.,CSE-3
CSE,DATABASE MANAGEMENT SYSTEM,3,5,Two-Phase Locking (2PL) is a:,Concurrency control technique,Recovery technique,Security technique,Data mining technique,Concurrency control technique,CSE-3
CSE,DATABASE MANAGEMENT SYSTEM,3,5,A timestamp-based protocol ensures serializability by:,Assigning timestamps to transactions and executing them in timestamp order.,Acquiring locks on data items before accessing them.,Validating transactions before committing.,Using multiple versions of data items.,Assigning timestamps to transactions and executing them in timestamp order.,CSE-3
CSE,DATABASE MANAGEMENT SYSTEM,3,5,A log-based recovery system uses a log to:,Record the current state of the database.,Record the sequence of operations performed by transactions.,Record the schema of the database.,Record the user queries.,Record the sequence of operations performed by transactions.,CSE-3
IT,DATABASE MANAGEMENT SYSTEM,3,1,Which of the following is NOT a component of a database system?,DATABSE,DBMS,OS,UI,OS,IT-3
IT,DATABASE MANAGEMENT SYSTEM,3,1,What is the primary function of a DATABASE MANAGEMENT SYSTEM (DBMS)?,To store data in files,To manage and organize data efficiently,To provide user interfaces,To execute complex calculations,To manage and organize data efficiently,IT-3
IT,DATABASE MANAGEMENT SYSTEM,3,2,SQL is a:,Procedural language,Declarative language,Functional language,Object-oriented language,Declarative language,IT-3
IT,DATABASE MANAGEMENT SYSTEM,3,2,What is the primary key of a relation?,A unique attribute or set of attributes that identifies each tuple.,A non-unique attribute or set of attributes,A foreign key in another relation,A composite attribute.,A unique attribute or set of attributes that identifies each tuple.,IT-3
IT,DATABASE MANAGEMENT SYSTEM,3,3,A relation R is in 2NF if:,Every non-prime attribute is fully functionally dependent on the primary key.,Every non-prime attribute is partially dependent on the primary key.,Every non-prime attribute is transitively dependent on the primary key.,Every determinant is a candidate key.,Every non-prime attribute is fully functionally dependent on the primary key.,IT-3
IT,DATABASE MANAGEMENT SYSTEM,3,3,A lossless-join decomposition of a relation R is a decomposition into relations R1 and R2 such that:,R1 ∩ R2 = ∅.,R1 ∪ R2 = R.,R1 × R2 = R.,R1 ⋈ R2 = R.,R1 ⋈ R2 = R.,IT-3
IT,DATABASE MANAGEMENT SYSTEM,3,4,Which of the following is not an ACID property of a transaction?,Atomicity,Consistency,Isolation,Efficiency,Efficiency,IT-3
IT,DATABASE MANAGEMENT SYSTEM,3,4,A deadlock occurs when:,Two transactions are waiting for each other to release a lock.,A transaction is waiting for a resource that is held by another transaction.,A transaction is waiting for a resource that is not available.,Two transactions are trying to access the same data at the same time.,Two transactions are waiting for each other to release a lock.,IT-3
IT,DATABASE MANAGEMENT SYSTEM,3,4,In a log-based recovery system the log records,The current state of the database.,The sequence of operations performed by transactions.,The schema of the database.,The user queries.,The sequence of operations performed by transactions.,IT-3
IT,DATABASE MANAGEMENT SYSTEM,3,5,Two-Phase Locking (2PL) is a:,Concurrency control technique,Recovery technique,Security technique,Data mining technique,Concurrency control technique,IT-3
IT,DATABASE MANAGEMENT SYSTEM,3,5,A timestamp-based protocol ensures serializability by:,Assigning timestamps to transactions and executing them in timestamp order.,Acquiring locks on data items before accessing them.,Validating transactions before committing.,Using multiple versions of data items.,Assigning timestamps to transactions and executing them in timestamp order.,IT-3
IT,DATABASE MANAGEMENT SYSTEM,3,5,A log-based recovery system uses a log to:,Record the current state of the database.,Record the sequence of operations performed by transactions.,Record the schema of the database.,Record the user queries.,Record the sequence of operations performed by transactions.,IT-3
CSE,WEB TECHNOLOGY,3,1,The World Wide Web was invented by:,Tim Berners-Lee,Bill Gates,Steve Jobs,Mark Zuckerberg,Tim Berners-Lee,CSE-3
CSE,WEB TECHNOLOGY,3,1,An XML Schema defines the:,Structure and content of an XML document,Style of an XML document,Behavior of an XML document,Security of an XML document,Structure and content of an XML document,CSE-3
CSE,WEB TECHNOLOGY,3,1,The HTML tag used to define a table is:,<table>,<tr>,<td>,<tabledata>,<table>,CSE-3
CSE,WEB TECHNOLOGY,3,2,How many ways are there to link a CSS file to an HTML document?,1,2,3,4,3,CSE-3
CSE,WEB TECHNOLOGY,3,2,Which CSS property is used to set the space between the content and the border?,margin,padding,border,space,padding,CSE-3
CSE,WEB TECHNOLOGY,3,2,Which CSS property is used to center an element horizontally?,margin: auto;,text-align: center;,align-items: center;,justify-content: center;,margin: auto;,CSE-3
CSE,WEB TECHNOLOGY,3,3,Which of the following is NOT a fundamental data type in JavaScript?,Number,String,Boolean,Char,Char,CSE-3
CSE,WEB TECHNOLOGY,3,3,What is AJAX?,A programming language,A technique for creating interactive web applications,A type of database,A network protocol,A technique for creating interactive web applications,CSE-3
CSE,WEB TECHNOLOGY,3,3,The TCP/IP protocol suite is a set of protocols that govern communication over the internet.,TRUE,FALSE,,,TRUE,CSE-3
CSE,WEB TECHNOLOGY,3,4,Which of the following is NOT a type of Enterprise Java Bean (EJB)?,Session Bean,Entity Bean,Message-Driven Bean,Servlet Bean,Servlet Bean,CSE-3
CSE,WEB TECHNOLOGY,3,4,A callback function in Node.js is:,A function that is executed synchronously,A function that is executed asynchronously,A function that is executed before another function,A function that is executed after another function,A function that is executed asynchronously,CSE-3
CSE,WEB TECHNOLOGY,3,4,A MongoDB database can contain multiple:,Tables,Collections,Records,Schemas,Collections,CSE-3
CSE,WEB TECHNOLOGY,3,5,The Servlet life cycle consists of the following methods:,"init(), service(), destroy()","start(), stop(), run()","create(), execute(), delete()","begin(), process(), end()","init(), service(), destroy()",CSE-3
CSE,WEB TECHNOLOGY,3,5,JSP pages are translated into:,HTML,Java servlets,JavaScript,Python scripts,Java servlets,CSE-3
CSE,WEB TECHNOLOGY,3,5,JSP is a technology for creating:,Dynamic web pages,Static web pages,Database applications,Operating systems,Dynamic web pages,CSE-3
IT,WEB TECHNOLOGY,3,1,The World Wide Web was invented by:,Tim Berners-Lee,Bill Gates,Steve Jobs,Mark Zuckerberg,Tim Berners-Lee,IT-3
IT,WEB TECHNOLOGY,3,1,An XML Schema defines the:,Structure and content of an XML document,Style of an XML document,Behavior of an XML document,Security of an XML document,Structure and content of an XML document,IT-3
IT,WEB TECHNOLOGY,3,1,The HTML tag used to define a table is:,<table>,<tr>,<td>,<tabledata>,<table>,IT-3
IT,WEB TECHNOLOGY,3,2,How many ways are there to link a CSS file to an HTML document?,1,2,3,4,3,IT-3
IT,WEB TECHNOLOGY,3,2,Which CSS property is used to set the space between the content and the border?,margin,padding,border,space,padding,IT-3
IT,WEB TECHNOLOGY,3,2,Which CSS property is used to center an element horizontally?,margin: auto;,text-align: center;,align-items: center;,justify-content: center;,margin: auto;,IT-3
IT,WEB TECHNOLOGY,3,3,Which of the following is NOT a fundamental data type in JavaScript?,Number,String,Boolean,Char,Char,IT-3
IT,WEB TECHNOLOGY,3,3,What is AJAX?,A programming language,A technique for creating interactive web applications,A type of database,A network protocol,A technique for creating interactive web applications,IT-3
IT,WEB TECHNOLOGY,3,3,The TCP/IP protocol suite is a set of protocols that govern communication over the internet.,TRUE,FALSE,,,TRUE,IT-3
IT,WEB TECHNOLOGY,3,4,Which of the following is NOT a type of Enterprise Java Bean (EJB)?,Session Bean,Entity Bean,Message-Driven Bean,Servlet Bean,Servlet Bean,IT-3
IT,WEB TECHNOLOGY,3,4,A callback function in Node.js is:,A function that is executed synchronously,A function that is executed asynchronously,A function that is executed before another function,A function that is executed after another function,A function that is executed asynchronously,IT-3
IT,WEB TECHNOLOGY,3,4,A MongoDB database can contain multiple:,Tables,Collections,Records,Schemas,Collections,IT-3
IT,WEB TECHNOLOGY,3,5,The Servlet life cycle consists of the following methods:,"init(), service(), destroy()","start(), stop(), run()","create(), execute(), delete()","begin(), process(), end()","init(), service(), destroy()",IT-3
IT,WEB TECHNOLOGY,3,5,JSP pages are translated into:,HTML,Java servlets,JavaScript,Python scripts,Java servlets,IT-3
IT,WEB TECHNOLOGY,3,5,JSP is a technology for creating:,Dynamic web pages,Static web pages,Database applications,Operating systems,Dynamic web pages,IT-3
CSE,COMPILER DESIGN,3,1,Which phase of the compiler is responsible for breaking the input program into tokens?,Lexical analysis,Syntax analysis,Semantic analysis,Code generation,Lexical analysis,CSE-3
CSE,COMPILER DESIGN,3,1,YACC is a tool for generating:,Lexical analyzers,Syntax analyzers,Semantic analyzers,Code generators,Syntax analyzers,CSE-3
CSE,COMPILER DESIGN,3,1,A parse tree is a graphical representation of the syntactic structure of a sentence.,TRUE,FALSE,,,TRUE,CSE-3
CSE,COMPILER DESIGN,3,2,Shift-reduce parsing is a:,Top-down parsing technique,Bottom-up parsing technique,Hybrid parsing technique,None of the above,Bottom-up parsing technique,CSE-3
CSE,COMPILER DESIGN,3,2,LR parsing tables are used to:,Guide the parsing process,Store the grammar rules,Store the lexical tokens,Store the semantic information,Guide the parsing process,CSE-3
CSE,COMPILER DESIGN,3,2,LALR parsers are more efficient than SLR parsers because they:,Use less memory,Have fewer states,Can handle more complex grammars,All of the above,Have fewer states,CSE-3
CSE,COMPILER DESIGN,3,3,An intermediate code representation can be:,Three-address code,Postfix notation,Both a and b,None of the above,Both a and b,CSE-3
CSE,COMPILER DESIGN,3,3,Three-address code is a sequence of instructions of the form:,x := y op z,"op x, y, z",x = y op z,"op(x, y, z)",x := y op z,CSE-3
CSE,COMPILER DESIGN,3,4,A common DATA STRUCTURE used for symbol tables is:,Array,Linked list,Hash table,Tree,Hash table,CSE-3
CSE,COMPILER DESIGN,3,4,In a block-structured language memory allocation for local variables is typically done using:,Static allocation,Stack allocation,Heap allocation,Register allocation,Stack allocation,CSE-3
CSE,COMPILER DESIGN,3,4,A scope in a programming language refers to:,The lexical extent of a variable or function,The dynamic extent of a variable or function,The memory location of a variable or function,The data type of a variable or function,The lexical extent of a variable or function,CSE-3
CSE,COMPILER DESIGN,3,5,Register allocation is a technique used to assign registers to variables.,TRUE,FALSE,,,TRUE,CSE-3
CSE,COMPILER DESIGN,3,5,Data-flow analysis is used to:,Determine the flow of control in a program,Determine the flow of data in a program,Optimize the code for memory usage,Optimize the code for execution time,Determine the flow of data in a program,CSE-3
CSE,COMPILER DESIGN,3,5,Constant folding is a technique to:,Replace constant expressions with their values at compile time,Eliminate redundant computations,Reduce the number of instructions,All of the above,All of the above,CSE-3
IT,COMPILER DESIGN,3,1,Which phase of the compiler is responsible for breaking the input program into tokens?,Lexical analysis,Syntax analysis,Semantic analysis,Code generation,Lexical analysis,IT-3
IT,COMPILER DESIGN,3,1,YACC is a tool for generating:,Lexical analyzers,Syntax analyzers,Semantic analyzers,Code generators,Syntax analyzers,IT-3
IT,COMPILER DESIGN,3,1,A parse tree is a graphical representation of the syntactic structure of a sentence.,TRUE,FALSE,,,TRUE,IT-3
IT,COMPILER DESIGN,3,2,Shift-reduce parsing is a:,Top-down parsing technique,Bottom-up parsing technique,Hybrid parsing technique,None of the above,Bottom-up parsing technique,IT-3
IT,COMPILER DESIGN,3,2,LR parsing tables are used to:,Guide the parsing process,Store the grammar rules,Store the lexical tokens,Store the semantic information,Guide the parsing process,IT-3
IT,COMPILER DESIGN,3,2,LALR parsers are more efficient than SLR parsers because they:,Use less memory,Have fewer states,Can handle more complex grammars,All of the above,Have fewer states,IT-3
IT,COMPILER DESIGN,3,3,An intermediate code representation can be:,Three-address code,Postfix notation,Both a and b,None of the above,Both a and b,IT-3
IT,COMPILER DESIGN,3,3,Three-address code is a sequence of instructions of the form:,x := y op z,"op x, y, z",x = y op z,"op(x, y, z)",x := y op z,IT-3
IT,COMPILER DESIGN,3,4,A common DATA STRUCTURE used for symbol tables is:,Array,Linked list,Hash table,Tree,Hash table,IT-3
IT,COMPILER DESIGN,3,4,In a block-structured language memory allocation for local variables is typically done using:,Static allocation,Stack allocation,Heap allocation,Register allocation,Stack allocation,IT-3
IT,COMPILER DESIGN,3,4,A scope in a programming language refers to:,The lexical extent of a variable or function,The dynamic extent of a variable or function,The memory location of a variable or function,The data type of a variable or function,The lexical extent of a variable or function,IT-3
IT,COMPILER DESIGN,3,5,Register allocation is a technique used to assign registers to variables.,TRUE,FALSE,,,TRUE,IT-3
IT,COMPILER DESIGN,3,5,Data-flow analysis is used to:,Determine the flow of control in a program,Determine the flow of data in a program,Optimize the code for memory usage,Optimize the code for execution time,Determine the flow of data in a program,IT-3
IT,COMPILER DESIGN,3,5,Constant folding is a technique to:,Replace constant expressions with their values at compile time,Eliminate redundant computations,Reduce the number of instructions,All of the above,All of the above,IT-3
